00VA,409603350
00VD,317701630
00VF,365101490
01VA,200700260
01VB,409600260
01VC,282900070
01VD,317701950
01VE,307203680
01VF,329704570
02VC,396800040
02VD,361301100
02VE,354200870
02VF,373003980
03VA,201400050
03VD,368100460
03VE,409705250
03VF,261200080
04VA,359701540
04VB,347321730
04VD,266100620
04VE,409804260
04VF,283103980
05VA,202004030
05VC,304400480
05VD,266001490
05VE,409700382
05VF,205401480
06VA,203200650
06VB,347900960
06VC,301500860
06VD,294800980
06VE,249900550
06VF,248314510
07VA,204200160
07VB,347900970
07VC,325700140
07VD,354800470
07VE,298300500
07VF,288100560
08VA,215300020
08VB,319600010
08VC,394900090
08VD,360201300
08VE,310700300
08VF,226400440
09VA,205600110
09VB,409600150
09VC,210501170
09VD,360201310
09VE,208200160
09VF,318605980
10VB,348607910
10VC,341403610
10VD,388200250
10VE,320200970
10VF,215902590
11VA,387800830
11VB,226100040
11VC,365000800
11VD,212900070
11VE,327800010
11VF,229000500
12VA,208301710
12VB,346301490
12VC,248305370
12VD,275900550
12VE,239400140
12VF,254802560
13VA,210600950
13VB,350200490
13VC,248313880
13VD,347317100
13VE,387800800
13VF,395300450
14VB,350400630
14VC,343100460
14VE,229000890
14VF,262100510
15VA,400300400
15VC,281900960
15VD,246700050
15VE,317504780
15VF,387801180
16VA,211400010
16VB,355700330
16VC,204800230
16VD,371900350
16VE,203100830
16VF,386602680
17VA,275900290
17VB,392501160
17VC,258800410
17VD,208701040
17VE,241201250
17VF,245301270
18VB,357900130
18VC,373100300
18VD,242300960
18VE,246000120
18VF,278800190
19VB,363900090
19VC,210602180
19VD,254900860
19VE,386300550
20VB,295000010
20VC,216000660
20VD,285201780
20VE,270900610
21VA,409700020
21VB,409600170
21VC,385702390
21VD,392400240
21VE,337500510
22VA,236300210
22VC,385702880
22VD,350701880
22VE,204700110
23VA,220000780
23VC,385703060
23VD,397201560
23VE,297400100
24VA,216800520
24VB,359701530
24VC,336300820
24VD,278000590
24VE,318400270
25VA,221400180
25VB,365200180
25VC,261000100
25VD,298200150
25VE,327100020
26VA,236900105
26VB,360100260
26VC,218300520
26VD,299100550
26VE,369200210
27VA,230900140
27VC,387800770
27VD,226800140
27VE,327302820
28VB,363000650
28VC,387800870
28VD,307300150
28VE,327301560
29VA,254801810
29VC,387802630
29VD,307300170
29VE,307201660
30VA,384600400
30VB,212000820
30VC,409704930
30VD,248900100
30VE,251801430
31VA,236401180
31VB,372500050
31VC,298701110
31VD,248900130
31VE,246401860
32VA,391900160
32VB,393400130
32VC,298700790
32VD,248900470
32VE,277500550
33VA,239800620
33VB,379000470
33VC,225801670
33VD,248900480
33VE,357501470
34VA,367700010
34VB,379801060
34VC,254102720
34VD,370701140
34VE,353900270
35VA,247803030
35VB,381200170
35VC,306103500
35VD,297900310
35VE,246300240
36VA,317603400
36VB,384800330
36VC,400503490
36VD,297900240
36VE,361500200
37VA,249700240
37VB,409604010
37VC,292700640
37VD,373003620
37VE,233600390
38VB,385900240
38VC,308402420
38VE,389100170
39VA,286300220
39VB,387400260
39VC,355201340
39VE,242101560
40VA,255800430
40VB,387400270
40VC,365102710
40VD,337500820
40VE,315303070
41VB,389900260
41VC,229200230
41VD,324700450
41VE,265000820
42VA,257500600
42VB,390900370
42VC,271701460
42VD,364900580
42VE,245401620
43VA,263900010
43VC,288101340
43VD,266201000
43VE,209901180
44VA,364401460
44VC,395500940
44VD,302100010
44VE,323200280
45VA,258900580
45VB,400400070
45VC,400500480
45VD,286500410
45VE,226600310
46VA,299700040
46VB,226700290
46VC,283103990
46VD,296200180
46VE,289500620
47VA,388500290
47VB,360700160
47VC,261300970
47VD,296200280
47VE,240600850
48VA,331500010
48VC,366603630
48VD,318200260
48VE,330600640
49VA,261300920
49VC,213103270
49VD,393501060
49VE,217600270
50VA,409700110
50VC,261910970
50VD,348701120
50VE,231900250
51VA,265300370
51VC,348700850
51VD,348701640
51VE,224401000
52VA,266800720
52VC,329201220
52VD,200901290
52VE,390400170
53VC,388802280
53VD,314200280
53VE,314400260
54VC,328900110
54VD,397901160
54VE,322200390
55VC,210101050
55VD,342000070
55VE,255800540
56VA,275001190
56VC,331006760
56VD,361100230
56VE,328500420
57VC,331006890
57VD,301800460
57VE,306800980
58VA,276200560
58VC,375303840
58VD,223502220
58VE,329400590
59VC,398803550
59VD,291300400
59VE,352300250
60VA,274400480
60VC,327905150
60VD,291300410
60VE,236500380
61VC,347805040
61VE,286201010
62VA,281100400
62VC,220901030
62VE,349905440
63VA,285200830
63VC,302507850
63VE,301000180
64VA,294300140
64VC,316301810
64VD,352100310
64VE,350200500
65VA,280300430
65VC,316304620
65VD,358700530
65VE,387201310
66VA,298700580
66VC,261900860
66VD,358700410
67VA,299000080
67VD,260801720
67VE,228500490
68VA,373600010
68VD,385900030
68VE,277400870
69VA,292000730
69VC,316700080
69VD,309800190
69VE,234800380
70VA,305600720
70VC,393900210
70VD,327202130
70VE,297900750
71VA,305600730
71VC,298700470
71VD,264501790
71VE,208701060
72VA,305700010
72VC,255100060
72VD,264501880
72VE,338300310
73VA,391100120
73VC,304400440
73VD,264501890
73VE,360100380
74VA,397600250
74VD,296800970
74VE,319000070
75VA,363200020
75VC,305800010
75VD,313502740
75VE,374000180
76VA,309100090
76VC,332100270
76VD,396200570
76VE,339100400
77VC,274103750
77VD,354200520
77VE,376500550
78VA,409701940
78VC,274200010
78VD,354200880
78VE,250100600
79VA,314300340
79VC,274202270
79VD,356000780
79VE,312800350
80VA,316201480
80VC,389300330
80VD,261000380
80VE,248500290
81VA,317300250
81VC,254700870
81VD,324900360
81VE,335800570
82VA,364700520
82VD,222702940
82VE,319400120
83VA,321400030
83VC,245401460
83VD,302003470
83VE,398000250
84VA,323000530
84VC,254102820
84VD,327400570
84VE,276401480
85VA,332600130
85VC,369000740
85VD,246401850
85VE,300600590
86VD,254201080
86VE,386000240
87VA,409700231
87VB,409700230
87VD,364800830
87VE,319600210
88VC,288101290
88VD,209601100
88VE,276100850
89VA,365300060
89VC,363400320
89VD,274000450
89VE,394800480
90VA,261903960
90VC,338901200
90VD,202701000
90VE,293000190
91VA,335500620
91VC,338901820
91VD,348901320
91VE,266201080
92VA,335800500
92VC,338902260
92VD,362700610
92VE,216000870
93VA,338002890
93VC,365401380
93VD,384100710
93VE,252804810
94VA,200901370
94VC,348101100
94VD,384100720
94VE,338002700
95VA,269100210
95VC,281901910
95VD,302002130
95VE,210601860
96VA,342900240
96VC,385500380
96VD,209901370
96VE,338003180
97VA,341401160
97VC,400500740
97VD,304400400
97VE,242101240
98VA,200901350
98VC,243400270
98VD,383000810
98VE,324100080
99VA,318300480
99VC,317701600
99VD,218300660
00VB,290100240
00VC,356300460
00VD,307700210
